,AA,AC,BB,BD,BG,BI,BJ,BL,BS,CC,CN,CQ,CS,CW,FL,GA,GH,GZ,HW,IN,IR,JJ,JK,KK,LA,LC,LP,MB,MK,MM,MN,MO,MR,NC,NJ,OH,OK,PA,PD,PL,PR,RM,RT,SB,SG,SH,SN,SO,SR,SS,SY,TR,TX,UC,UK,VW,XA
SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017887932,-0.017010415,-0.116096317,-0.176568262,-0.09609694,-0.113294683,0.158382132,-0.035665828,-0.073802353,-0.070737058,-0.119984247,-0.095378277
SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374378454,-0.051935717,-0.073529941,0.08084631,-0.067352364,0.281858331,0.155193154,-0.000708015,0.031397475,0.057848621,-0.031362195
SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274492096,-0.195086538,-0.136258819,-0.098822226,0.151942714,-0.077506262,-0.056869805,-0.062531511,-0.157934012,-0.114269482
SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095153287,-0.155472632,-0.203925996,0.080739496,-0.092548713,-0.15472745,-0.150587719,-0.178371665,-0.191256391
SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109812318,-0.14152353,0.196400578,0.074391045,-0.074690356,-0.063178098,0.03056609,-0.10807524
SY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026395183,0.152471221,-0.089472008,-0.026321396,-0.035840831,-0.174104408,-0.090566952
TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653825735,0.266533797,0.248105241,0.255960495,0.182100283,0.151247626
TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189146184,-0.00902692,0.010966078,0.046534717,-0.060737247
UC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356498996,0.101158052,-0.097656373,-0.063089093
UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511648952,-0.087797746,-0.06900849
VW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294531666,-0.13513024
XA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027096092
